countyfips,year,month,day,i305
13083,2015,1,15,
13085,2015,1,15,
13087,2015,1,15,
13089,2015,1,15,
13009,2015,1,15,
13091,2015,1,15,
13093,2015,1,15,
13095,2015,1,15,
13097,2015,1,15,
13099,2015,1,15,
16001,2015,1,15,
16011,2015,1,15,
16013,2015,1,15,
16015,2015,1,15,
16017,2015,1,15,
16019,2015,1,15,
16021,2015,1,15,
16023,2015,1,15,
16025,2015,1,15,
16027,2015,1,15,
16029,2015,1,15,
16003,2015,1,15,
16031,2015,1,15,
16033,2015,1,15,
16035,2015,1,15,
16037,2015,1,15,
16039,2015,1,15,
16041,2015,1,15,
16043,2015,1,15,
16045,2015,1,15,
16047,2015,1,15,
16049,2015,1,15,
16005,2015,1,15,
16051,2015,1,15,
16053,2015,1,15,
16055,2015,1,15,
16057,2015,1,15,
16059,2015,1,15,
16061,2015,1,15,
16063,2015,1,15,
16065,2015,1,15,
16067,2015,1,15,
16069,2015,1,15,
16007,2015,1,15,
16071,2015,1,15,
16073,2015,1,15,
16075,2015,1,15,
16077,2015,1,15,
16079,2015,1,15,
16081,2015,1,15,
16083,2015,1,15,
16085,2015,1,15,
16087,2015,1,15,
16009,2015,1,15,
17001,2015,1,15,
17101,2015,1,15,
17103,2015,1,15,
17105,2015,1,15,
17107,2015,1,15,
17109,2015,1,15,
17011,2015,1,15,
17111,2015,1,15,
17113,2015,1,15,
17115,2015,1,15,
17117,2015,1,15,
17119,2015,1,15,
17121,2015,1,15,
17123,2015,1,15,
17125,2015,1,15,
17127,2015,1,15,
17129,2015,1,15,
17013,2015,1,15,
17131,2015,1,15,
17133,2015,1,15,
17135,2015,1,15,
17137,2015,1,15,
17139,2015,1,15,
17141,2015,1,15,
17143,2015,1,15,
17145,2015,1,15,
17147,2015,1,15,
17149,2015,1,15,
17015,2015,1,15,
17151,2015,1,15,
17153,2015,1,15,
17155,2015,1,15,
17157,2015,1,15,
17159,2015,1,15,
17161,2015,1,15,
17163,2015,1,15,
17165,2015,1,15,
17167,2015,1,15,
17169,2015,1,15,
17017,2015,1,15,
17171,2015,1,15,
17173,2015,1,15,
17175,2015,1,15,
17177,2015,1,15,
17179,2015,1,15,
17181,2015,1,15,
17183,2015,1,15,
17185,2015,1,15,
17187,2015,1,15,
17189,2015,1,15,
17019,2015,1,15,
17191,2015,1,15,
17193,2015,1,15,
17195,2015,1,15,
17197,2015,1,15,
17199,2015,1,15,
17201,2015,1,15,
17203,2015,1,15,
17021,2015,1,15,
17023,2015,1,15,
17025,2015,1,15,
17027,2015,1,15,
17029,2015,1,15,
17003,2015,1,15,
17031,2015,1,15,
17033,2015,1,15,
17035,2015,1,15,
17037,2015,1,15,
17039,2015,1,15,
17041,2015,1,15,
17043,2015,1,15,
17045,2015,1,15,
17047,2015,1,15,
17049,2015,1,15,
17005,2015,1,15,
17051,2015,1,15,
17053,2015,1,15,
17055,2015,1,15,
17057,2015,1,15,
17059,2015,1,15,
17061,2015,1,15,
17063,2015,1,15,
17065,2015,1,15,
17067,2015,1,15,
